Date,Avinash_Distance,Juhan_Distance,Daniel_Distance,Viet_Distance,Avg_Distance,Precipitation,,,,,,,,,,
2019-09-27,3.84,2.6,5,5.7,4.29,0,,,,,,,,,,
2019-09-28,2.97,2.6,1.9,0.01,1.87,0,,,,,,,,,,
2019-09-29,2.45,0.11,3,5.5,2.77,0,,,,,,,,,,
2019-09-30,2.80,4,6.5,2.5,3.95,0,,,,,,,,,,
2019-10-01,1.36,2.12,1.9,3.4,2.19,0,,,,,,,,,,
2019-10-02,3.20,0.72,4.6,5.2,3.43,0.03,,,,,,,,,,
2019-10-03,2.73,3.8,1.3,5.8,3.41,0.34,,,,,,,,,,
2019-10-04,1.07,2.02,4.5,3.9,2.87,0,,,,,,,,,,
2019-10-05,3.45,0.55,0.74,2.6,1.84,0,,,,,,,,,,
2019-10-06,4.16,1.64,2.3,1.3,2.35,0.01,,,,,,,,,,
2019-10-07,2.60,2.11,3,7,3.68,0.2,,,,,,,,,,
2019-10-08,3.92,1.53,3.3,4.7,3.36,0.02,,,,,,,,,,
